CLASS;SUBCLASS;VARIABLE;VALUE
INFLOW;PRECIPITATION;Rainfall;1106.6514209261848
INFLOW;PRECIPITATION;Snowfall;0.0
INFLOW;PRECIPITATION;Precipitation recycling;0.0
INFLOW;SURFACE WATER;Main riverstem;35.577333617
INFLOW;SURFACE WATER;Tributaries;0.0
INFLOW;SURFACE WATER;Utilized surface water;0.0
INFLOW;SURFACE WATER;Flood;0.0
INFLOW;GROUNDWATER;Natural;0.0
INFLOW;GROUNDWATER;Utilized;0.0
INFLOW;OTHER;Desalinized;0.0
STORAGE;CHANGE;Surface storage;-52.0413460709753
ERROR;ERROR;0;
STORAGE;CHANGE;Storage in sinks;0.0
OUTFLOW;ET RAIN;Natural;516.8790348871739
OUTFLOW;ET RAIN;Urban;9.339527124638794
OUTFLOW;ET RAIN;Agri;159.55525026959018
OUTFLOW;ET INCREMENTAL;Natural;97.94362459718899
OUTFLOW;ET INCREMENTAL;Urban;6.937212708758083
OUTFLOW;ET INCREMENTAL;Agri;209.39872301885953
OUTFLOW;ET INCREMENTAL;Manmade;209.4491110497415
OUTFLOW;ET INCREMENTAL;Consumed Water;50.38803088200001
OUTFLOW;SURFACE WATER;Surface wateroutflow;39.746004983999995
OUTFLOW;SURFACE WATER;Tributaries;0.0
OUTFLOW;SURFACE WATER;Utilized surface water;0.0
OUTFLOW;SURFACE WATER;Flood;0.0
OUTFLOW;SURFACE WATER;Interbasin transfer;0.0
OUTFLOW;GROUNDWATER;Natural;0.0
OUTFLOW;GROUNDWATER;Utilized;0.0
OUTFLOW;OTHER;Non-utilizable;0.0
OUTFLOW;OTHER;Other;0.0
OUTFLOW;OTHER;Treated Waste Water;1.7998040385000003
OUTFLOW;RESERVED;Navigational;0.0
OUTFLOW;RESERVED;Environmental;0.0
